,dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
0,2020-09-04,0.0,0,kcal,0,30,0,12
1,2020-09-05,0.0,0,kcal,0,30,0,12
2,2021-02-28,0.0,0,kcal,0,30,0,12
3,2021-03-01,1.572,660,kcal,0,60,0,8
4,2021-03-02,923.525,660,kcal,123,60,14,8
5,2021-03-03,871.618,660,kcal,156,60,12,8
6,2021-03-04,738.487,660,kcal,131,60,13,8
7,2021-03-05,649.889,660,kcal,102,60,14,8
8,2021-03-06,1247.65,660,kcal,221,60,15,8
9,2021-03-07,908.148,660,kcal,156,60,12,8
10,2021-03-08,660.983,660,kcal,127,60,10,8
11,2021-03-09,725.91,660,kcal,132,60,15,8
12,2021-03-10,855.075,660,kcal,155,60,14,8
13,2021-03-11,850.696,660,kcal,166,60,12,8
14,2021-03-12,726.85,660,kcal,138,60,10,8
15,2021-03-13,1239.56,660,kcal,220,60,13,8
16,2021-03-14,1246.8,660,kcal,193,60,15,8
17,2021-03-15,882.711,660,kcal,177,60,12,8
18,2021-03-16,707.964,660,kcal,133,60,13,8
19,2021-03-17,986.865,660,kcal,145,60,16,8
20,2021-03-18,975.823,660,kcal,185,60,14,8
21,2021-03-19,963.202,660,kcal,183,60,14,8
22,2021-03-20,1386.87,660,kcal,249,60,15,8
23,2021-03-21,1208.69,660,kcal,233,60,16,8
24,2021-03-22,818.402,660,kcal,161,60,13,8
25,2021-03-23,738.695,660,kcal,130,60,17,8
26,2021-03-24,922.871,660,kcal,149,60,13,8
27,2021-03-25,925.687,660,kcal,164,60,14,8
28,2021-03-26,912.21,660,kcal,177,60,15,8
29,2021-03-27,1106.86,660,kcal,177,60,16,8
30,2021-03-28,1228.35,660,kcal,247,60,15,8
31,2021-03-29,713.557,660,kcal,127,60,10,8
32,2021-03-30,985.214,660,kcal,177,60,11,8
33,2021-03-31,737.333,660,kcal,121,60,13,8
34,2021-04-01,926.982,660,kcal,158,60,11,8
35,2021-04-02,898.092,660,kcal,187,60,13,8
36,2021-04-03,1077.77,660,kcal,166,60,14,8
37,2021-04-04,1058.9,660,kcal,185,60,13,8
38,2021-04-05,1091.44,660,kcal,194,60,16,8
39,2021-04-06,788.681,660,kcal,129,60,14,8
40,2021-04-07,705.801,660,kcal,122,60,15,8
41,2021-04-08,832.508,660,kcal,167,60,12,8
42,2021-04-09,947.273,660,kcal,166,60,14,8
43,2021-04-10,1026.78,660,kcal,175,60,14,8
44,2021-04-11,1091.79,660,kcal,188,60,15,8
45,2021-04-12,981.141,660,kcal,166,60,15,8
46,2021-04-13,990.006,660,kcal,167,60,15,8
47,2021-04-14,991.058,660,kcal,164,60,16,8
48,2021-04-15,940.26,660,kcal,161,60,14,8
49,2021-04-16,852.327,660,kcal,154,60,15,8
50,2021-04-17,1095.98,660,kcal,206,60,14,8
51,2021-04-18,1502.94,660,kcal,264,60,17,8
52,2021-04-19,927.66,660,kcal,171,60,13,8
53,2021-04-20,938.633,660,kcal,172,60,13,8
54,2021-04-21,997.738,660,kcal,155,60,12,8
55,2021-04-22,906.985,660,kcal,139,60,14,8
56,2021-04-23,700.915,660,kcal,141,60,15,8
57,2021-04-24,1421.32,660,kcal,212,60,17,8
58,2021-04-25,1271.56,660,kcal,216,60,15,8
59,2021-04-26,793.393,660,kcal,145,60,12,8
60,2021-04-27,1063.28,660,kcal,139,60,16,8
61,2021-04-28,830.916,660,kcal,117,60,14,8
62,2021-04-29,984.261,660,kcal,142,60,14,8
63,2021-04-30,1284.83,660,kcal,221,60,16,8
64,2021-05-01,1499.81,660,kcal,278,60,16,8
65,2021-05-02,1503.82,660,kcal,258,60,16,8
66,2021-05-03,1032.46,660,kcal,160,60,15,8
67,2021-05-04,999.969,660,kcal,187,60,15,8
68,2021-05-05,1167.95,660,kcal,174,60,16,8
69,2021-05-06,857.783,660,kcal,163,60,13,8
70,2021-05-07,791.352,660,kcal,162,60,14,8
71,2021-05-08,1489.85,660,kcal,223,60,15,8
72,2021-05-09,1281.34,660,kcal,221,60,17,8
73,2021-05-10,871.184,660,kcal,166,60,15,8
74,2021-05-11,1221.04,660,kcal,209,60,15,8
75,2021-05-12,969.012,660,kcal,176,60,13,8
76,2021-05-13,1247.16,660,kcal,212,60,15,8
77,2021-05-14,827.477,660,kcal,139,60,14,8
78,2021-05-15,1658.21,660,kcal,235,60,17,8
79,2021-05-16,1254.18,660,kcal,228,60,17,8
80,2021-05-17,884.098,660,kcal,154,60,17,8
81,2021-05-18,1374.45,660,kcal,225,60,17,8
82,2021-05-19,854.357,660,kcal,144,60,13,8
83,2021-05-20,1146.74,660,kcal,168,60,15,8
84,2021-05-21,1028.46,660,kcal,184,60,16,8
85,2021-05-22,1264.69,660,kcal,216,60,17,8
86,2021-05-23,1157.11,660,kcal,215,60,15,8
87,2021-05-24,1265.27,660,kcal,255,60,15,8
88,2021-05-25,900.575,660,kcal,153,60,18,8
